77760,Explosion
77762,Implosion
77763,Brand
77774,Brandbekämpfung
77776,Brandschutz
77782,Ölunfall
77787,Atomkraftwerksunfall
77788,Waffenunfall
77789,Bauwerksunfall
77792,Grubenunfall
66783,Öffnungszeit
66794,Einkaufszentrum
66797,Fachhandel
66808,Kiosk
66810,Kaufhaus
66818,Duty-Free-Handel
66824,Konsumgenossenschaft
66825,Leasing
66827,Schwarzhandel
67728,Viehtransport
67729,Schlachtung
67748,Maschinenbauindustrie
67752,Metallindustrie
67761,Stahlindustrie
67762,Post
67765,Postbetrieb
67771,Postdienste
76931,Stadtverkehr
76942,Anliegerverkehr
76945,Individuelle Personenbeförderung
76962,Schienenverkehr
76964,Eisenbahnpolitik
76965,Eisenbahngesellschaft
76970,Bahnbetrieb
77579,Festkörperphysik
77584,Psychologie
77599,Selbstbewusstsein
76505,Umweltbewusstsein
76518,Umweltschadstoff
76522,Umweltschutz
76529,Klimabelastung
76534,Klimaschutz
76543,Luftbelastung
76544,Saurer Regen
76545,Smog
76553,Luftreinhaltung
76561,Landschaftsbelastung
77144,Fluggesellschaft
77146,Bodenpersonal
77150,Flugpersonal
77156,Flughafen
77164,Flugplatz
77178,Flugzeug
66706,Abgabe
67606,Obst und Nüsse
67631,Gemüse
67656,Weinbau
67665,Kaffeeanbau
68582,Sexuelle Orientierung
68586,Homosexualität
68589,Prostitution
68594,Pornographie
68599,Lebensgemeinschaft
68605,Alleinstehender
68610,Ehe
77604,Gefühlsleben
77625,Psyche
77195,Luftraum
77794,Höhlenunfall
77796,Arbeitsunfall
77799,Hausunfall
77802,Freizeitunfall
77805,Kinderunfall
77808,Sportunfall
77809,Tierunfall
77813,Verkehrsunfall
77820,Bahnunfall
77835,Raumfahrtunfall
77836,Unfallschutz
77838,Rettungswesen
77841,Rettungsaktion
68710,Lebensalter
68715,Kindheit
68719,Säugling
68726,Kind
68750,Jugendpolitik
65821,Kriegswirtschaft
65826,Wirtschaftsverband
65841,Wirtschaftsstruktur und Wirtschaftsentwicklung
65842,Wirtschaftsstandort
65845,Wirtschaftsstruktur
65850,Mittelstand
65853,Regionale Wirtschaftsstruktur
65857,Schattenwirtschaft
65858,Wirtschaftslage
65867,Konjunktur
76563,Landschaftsschutz
76576,Bodenbelastung
76582,Bodenschutz
76586,Wasserbelastung
76597,Wasserschutz
76618,Lärmschutz
77206,Fluggastabfertigung
77210,Linienflugverkehr
77211,Charterflugverkehr
77213,Luftfahrtmedizin
77223,Raumfahrtpolitik
76809,Verkehrsbetrieb
76813,Nahverkehrsstreckennetz
76823,Straßenverkehr
76827,Straßenverkehrspolitik
76835,Straßenverkehrsverband
76840,Verkehrsregelung
76848,Verkehrsgeschwindigkeit
76853,Verkehrskontrolle
77440,Galaxie
77490,Chemische Verbindung
77226,Raumfahrtbehörde
77231,Raumfahrteinrichtung
77238,Astronaut
77242,Raumflugkörper
77248,Raumfahrzeug
77256,Satellit
77852,Hilfsorganisation
77868,Rettungshelfer
77871,Feuerwehr
77887,Zivilschutz
77893,Katastrophenschutz
68629,Ehescheidung
65704,Kirchliche Erwachsenenbildung
65713,Berufliches Schulwesen
65725,Betriebliche Berufsausbildung
65731,Berufsvorbereitung
65736,Berufsabschluss
65743,Wirtschaftsordnung und Wirtschaftspolitik
65744,Wirtschaftsordnung
65746,Marktwirtschaft
65755,Markt
66712,Gebühr
66716,Staatsausgabe
66717,Staatliche Verschwendung
66719,Staatsvermögen
66725,Finanzverwaltung
66745,Wirtschaftssektor
76975,Bahnhof
76978,Betriebsbahnhof
76982,Eisenbahnsicherheit
76988,Bahnreiseservice
76993,Bahnfahrzeug
76994,Schienenbahn
77003,Eisenbahn
76625,Strahlenbelastung
76634,Elektrosmog
76635,Strahlenschutz
76641,Abfall
76662,Sonderabfall
76663,Altlasten
76667,Abfallpolitik
76671,Abfallentsorgung
77264,Verkehrstechnik
65873,Wirtschaftsgutachten
66828,Handelsberuf
66833,Messewirtschaft
66836,Messe
66844,Weltausstellung
66847,Vermietung
66849,Wirtschaftsbranche
66860,Bau- und Wohnungspolitik
66871,Bauberuf
66875,Immobilienmarkt
66883,Immobilienverwaltung
66886,Gewerbeimmobilie
67792,Postgebühr
67795,Briefmarke
67798,Reinigungsgewerbe
67802,Telekommunikationswirtschaft
67808,Telekommunikationsunternehmen
67815,Telefongebühr
67829,Verpackung
77274,Wissenschaft und Forschung
77279,Wissenschaftslehre
77286,Wissenschaftspolitik
77297,Wissenschaftliches Institut
77299,Nobelpreis
72205,Anzeige
72211,Presseteil
72218,Zeitschrift
72225,Pressewirtschaft
73099,Reptil
